year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,33.0000,1.9200,32.0000,1.9790
1981,30.9000,4.9900,83.0000,1.8552
1982,19.4000,3.8600,32.8000,2.2747
1983,15.5000,3.1800,87.3000,0.5631
1984,29.6000,2.0200,194.8000,0.3062
1985,36.5000,1.3500,27.0000,1.8227
1986,41.6000,2.3800,172.8000,0.5725
1987,50.0000,2.1000,124.4000,0.8447
1988,36.0000,1.4800,70.4000,0.7537
1989,17.2000,3.5000,115.7000,0.5192
1990,40.8000,3.4000,75.6000,1.8302
1991,19.9000,3.1800,114.8000,0.5510
1992,30.6000,3.6100,154.5000,0.7138
1993,44.8000,2.0400,105.5000,0.8651
1994,18.6000,2.5400,88.6000,0.5327
1995,32.5000,2.9500,85.3000,1.1227
1996,48.5000,2.2700,59.7000,1.8416
1997,21.0000,7.6900,75.3000,2.1412
1998,36.3000,2.2600,88.8000,0.9236
1999,25.5000,1.9100,80.4000,0.6046
2000,17.5000,5.0900,82.2000,1.0828
2001,41.2000,3.9800,49.4000,3.3157
2002,93.5000,3.2100,88.5000,3.3884
2003,41.6000,1.0200,90.8000,0.4676
2004,39.2000,4.2200,97.0000,1.7035
2005,23.6000,4.9500,116.2000,1.0043
2006,51.5000,2.9800,82.3000,1.8635
2007,20.1000,4.3500,116.7000,0.7491
2008,25.7000,6.0100,48.0000,3.2105
2009,43.4000,5.1100,58.0000,3.8169
2010,120.4000,-0.0600,59.7000,-0.1182
2011,27.0000,3.4600,67.9000,1.3724
2012,18.2000,5.1700,63.2000,1.4854
2013,31.0000,5.4700,135.7000,1.2491
2014,62.2000,4.5000,73.8000,3.7885
2015,43.2000,4.6600,156.2000,1.2876
2016,50.8000,4.7000,77.0000,3.0960
2017,40.0000,3.9500,112.0500,1.4090
2018,41.1000,4.4400,115.0800,1.5829
2019,41.1000,4.4400,115.0800,1.5829
