year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,9.7000,0.6600,384.9000,0.0166
1981,21.3000,3.1600,601.3000,0.1120
1982,41.9000,3.2000,181.9000,0.7365
1983,68.4000,2.6800,296.5000,0.6171
1984,17.2000,2.5900,470.8000,0.0946
1985,22.0000,3.1500,299.6000,0.2315
1986,18.8000,3.1300,338.9000,0.1735
1987,23.2000,-0.0400,358.6000,-0.0025
1988,27.6000,2.0400,378.0000,0.1491
1989,39.4000,3.4900,379.4000,0.3628
1990,14.4000,5.1600,360.9000,0.2059
1991,27.5000,2.9300,372.4000,0.2160
1992,15.5000,3.5300,329.3000,0.1660
1993,21.1000,3.6600,434.7000,0.1778
1994,24.0000,2.0200,313.6000,0.1547
1995,25.1000,2.1500,321.9000,0.1679
1996,28.2000,3.7100,312.0000,0.3355
1997,41.1000,3.7000,300.2000,0.5059
1998,18.3000,5.7600,369.1000,0.2855
1999,22.9000,1.1400,336.4000,0.0778
2000,17.7000,3.4500,252.4000,0.2418
2001,19.8000,3.2100,227.3000,0.2794
2002,27.9000,5.3500,233.4000,0.6398
2003,20.2000,5.1800,383.2000,0.2730
2004,47.5000,2.5000,225.0000,0.5282
2005,49.2000,2.5900,170.0000,0.7483
2006,16.3000,2.8700,289.1000,0.1617
2007,28.2000,3.1400,148.1000,0.5982
2008,26.6000,6.0500,307.3000,0.5234
2009,44.1000,3.6500,359.8000,0.4467
2010,35.3000,1.5200,411.0000,0.1307
2011,7.9000,2.8400,220.9000,0.1017
2012,15.0000,3.1200,255.0000,0.1834
2013,44.9000,1.5300,442.7000,0.1556
2014,27.5000,4.5000,315.3700,0.3921
2015,50.0000,3.0600,180.4000,0.8485
2016,8.9000,4.8600,148.2000,0.2918
2017,11.4000,5.4100,499.7000,0.1233
2018,41.1000,4.6000,444.1000,0.4254
2019,13.5000,5.1300,570.2700,0.1215
