year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,14.8000,7.4100,160.2000,0.6840
1981,0.8000,9.0000,141.5000,0.0509
1982,4.8000,9.1600,92.1000,0.4768
1983,6.1000,8.0000,116.7000,0.4178
1984,14.1000,8.0500,279.4000,0.4063
1985,1.4000,7.7200,222.0000,0.0487
1986,28.9000,8.3000,129.6000,1.8485
1987,5.0000,8.9000,134.6000,0.3303
1988,10.2000,7.1300,183.9000,0.3952
1989,17.0000,8.6700,332.9000,0.4425
1990,13.8000,8.1900,195.1000,0.5793
1991,40.4000,8.2000,112.8000,2.9327
1992,12.1000,9.1700,240.0000,0.4622
1993,6.6000,8.6900,154.6000,0.3708
1994,9.8000,9.4800,146.1000,0.6351
1995,0.4000,7.8000,313.3000,0.0100
1996,11.9000,7.1100,152.0000,0.5560
1997,16.5000,10.1500,82.4000,2.0304
1998,12.9000,9.9200,177.1000,0.7222
1999,1.4000,9.9600,87.1000,0.1600
2000,8.0000,9.6700,123.6000,0.6254
2001,6.2000,9.2600,116.9000,0.4905
2002,10.4000,9.4500,227.5000,0.4317
2003,16.7000,9.0400,149.0000,1.0123
2004,6.2000,10.3200,198.0000,0.3231
2005,5.7000,9.4600,71.5000,0.7533
2006,10.5000,9.7300,193.9000,0.5268
2007,31.7000,9.3800,216.7000,1.3716
2008,12.6000,10.7300,193.2000,0.6991
2009,6.3000,10.1400,101.4000,0.6291
2010,16.4000,7.5000,117.1000,1.0492
2011,4.4000,8.0300,78.5000,0.4498
2012,12.4000,9.3300,194.0000,0.5960
2013,0.4000,10.1200,118.1000,0.0342
2014,3.6000,9.7600,110.9000,0.3165
2015,7.7000,9.1100,62.5000,1.1208
2016,9.8000,9.5500,239.9000,0.3900
2017,32.0000,9.3800,193.5000,1.5496
2018,4.4000,11.6800,310.2000,0.1656
2019,2.7000,9.4700,156.4000,0.1634
