year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,12.8000,6.5800,314.8000,0.2676
1981,18.3000,8.2900,371.7000,0.4080
1982,22.7000,7.8200,135.9000,1.3050
1983,2.8000,8.7600,234.8000,0.1044
1984,7.0000,6.8200,465.7000,0.1025
1985,7.0000,7.2600,471.9000,0.1076
1986,17.6000,7.8900,425.2000,0.3267
1987,18.9000,6.3700,367.1000,0.3277
1988,8.5000,6.5000,325.4000,0.1697
1989,19.2000,8.9300,247.6000,0.6926
1990,49.6000,8.6600,280.1000,1.5335
1991,8.8000,7.2600,326.6000,0.1955
1992,7.6000,8.2700,268.2000,0.2344
1993,10.2000,8.3400,344.2000,0.2472
1994,13.3000,8.0900,472.0000,0.2278
1995,16.0000,7.2500,386.9000,0.2997
1996,24.6000,7.7300,290.8000,0.6534
1997,15.8000,8.5400,352.3000,0.3827
1998,15.1000,10.3500,374.3000,0.4174
1999,18.0000,6.8800,328.9000,0.3763
2000,23.6000,8.5700,235.4000,0.8590
2001,7.8000,8.6500,322.6000,0.2092
2002,1.8000,10.3800,143.7000,0.1299
2003,2.6000,9.4800,274.9000,0.0896
2004,10.3000,9.0700,220.3000,0.4237
2005,3.6000,7.8500,471.6000,0.0599
2006,32.2000,7.8700,366.9000,0.6902
2007,15.9000,8.3400,274.1000,0.4838
2008,19.0000,10.0500,299.6000,0.6370
2009,18.4000,9.3100,163.7000,1.0459
2010,36.1000,5.7300,409.0000,0.5053
2011,1.4000,7.8100,183.9000,0.0595
2012,34.1000,8.1500,386.9000,0.7178
2013,47.3000,6.7100,419.1000,0.7576
2014,9.6000,9.7000,303.5000,0.3069
2015,19.0000,9.6000,198.0000,0.9207
2016,19.8000,9.7700,232.1000,0.8330
2017,9.2000,9.9700,301.1000,0.3045
2018,20.8000,9.6000,305.4000,0.6538
2019,26.7000,10.0900,319.6700,0.8422
