year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,73.4000,6.1000,373.2000,1.1998
1981,55.9000,7.3400,387.8000,1.0578
1982,26.4000,7.5300,508.0000,0.3914
1983,46.3000,8.1900,470.0000,0.8063
1984,70.5000,5.7200,417.0000,0.9664
1985,56.6000,6.5900,871.5000,0.4280
1986,71.3000,6.6800,803.3000,0.5931
1987,80.9000,6.1800,504.1000,0.9913
1988,55.7000,5.9100,360.2000,0.9133
1989,20.5000,8.1500,489.5000,0.3414
1990,71.3000,7.7300,519.2000,1.0614
1991,42.4000,6.5500,522.0000,0.5318
1992,71.1000,7.3500,426.4000,1.2246
1993,32.6000,7.2100,523.1000,0.4492
1994,38.0000,7.2200,405.8000,0.6763
1995,43.3000,6.4600,955.5000,0.2928
1996,45.9000,6.7200,598.6000,0.5153
1997,79.7000,7.3300,438.0000,1.3328
1998,50.7000,9.7300,737.0000,0.6692
1999,55.3000,6.8400,553.8000,0.6833
2000,94.1000,7.1700,416.5000,1.6204
2001,49.3000,7.4800,570.1000,0.6464
2002,60.2000,9.1900,499.8000,1.1066
2003,33.1000,8.1500,471.3000,0.5721
2004,85.7000,7.4800,444.4000,1.4412
2005,27.2000,6.2100,636.8000,0.2650
2006,61.2000,7.1800,717.2000,0.6124
2007,115.3000,6.2500,426.5000,1.6892
2008,31.6000,8.9200,518.4000,0.5436
2009,104.9000,7.9000,499.9000,1.6576
2010,148.1000,5.1700,894.4000,0.8556
2011,10.0000,6.7400,423.0000,0.1593
2012,70.3000,7.5200,575.0000,0.9189
2013,77.4000,6.3300,694.8000,0.7047
2014,40.7000,8.5100,361.7000,0.9570
2015,68.8000,8.0700,424.1000,1.3093
2016,72.9000,8.6800,540.5000,1.1703
2017,43.9000,8.3100,363.1000,1.0047
2018,59.8000,8.7000,435.0000,1.1953
2019,50.3000,8.5100,365.0000,1.1730
