year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,27.8000,4.1600,392.8000,0.2941
1981,53.0000,3.4600,378.8000,0.4841
1982,44.0000,3.3400,327.4000,0.4483
1983,37.5000,3.0900,317.2000,0.3650
1984,22.8000,4.6400,237.0000,0.4459
1985,30.2000,4.4500,387.5000,0.3469
1986,60.3000,3.5600,190.8000,1.1244
1987,54.9000,3.7900,254.1000,0.8179
1988,28.1000,4.3900,234.6000,0.5255
1989,23.5000,4.3800,395.0000,0.2603
1990,57.0000,2.7200,254.5000,0.6084
1991,39.4000,4.5100,317.9000,0.5589
1992,23.2000,4.4800,273.3000,0.3804
1993,41.1000,3.5700,364.2000,0.4030
1994,45.1000,3.8800,221.0000,0.7909
1995,68.4000,4.6100,238.0000,1.3246
1996,25.2000,4.9300,232.0000,0.5353
1997,48.7000,3.6200,253.6000,0.6940
1998,26.9000,4.6500,342.8000,0.3647
1999,48.6000,6.0400,243.6000,1.2041
2000,53.7000,3.2600,282.1000,0.6201
2001,57.6000,3.0000,245.3000,0.7047
2002,15.4000,4.4700,216.0000,0.3184
2003,24.9000,4.6100,391.9000,0.2927
2004,10.8000,5.6200,231.5000,0.2620
2005,43.1000,4.5100,327.4000,0.5938
2006,35.7000,4.4000,238.8000,0.6574
2007,19.0000,5.4600,227.8000,0.4552
2008,36.0000,5.0000,261.5000,0.6876
2009,46.0000,5.1300,385.9000,0.6114
2010,4.5000,5.6400,248.0000,0.1023
2011,27.3000,4.1200,273.6000,0.4108
2012,83.3000,3.6900,343.9000,0.8931
2013,48.7000,3.9400,241.4000,0.7950
2014,52.5000,4.3500,372.6000,0.6121
2015,58.6000,4.3300,211.9000,1.1967
2016,38.4000,4.5000,181.8000,0.9493
2017,40.2000,3.8000,349.4000,0.4376
2018,48.8000,3.8600,327.5000,0.5746
2019,57.5000,3.4200,259.1000,0.7593
