year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,40.3000,-1.4100,421.0000,-0.1346
1981,27.1000,2.0500,440.0000,0.1261
1982,22.6000,0.9600,376.6000,0.0576
1983,16.8000,1.4500,412.7000,0.0590
1984,18.4000,-0.0700,391.6000,-0.0031
1985,19.8000,1.0300,489.5000,0.0418
1986,24.9000,0.8200,397.2000,0.0517
1987,13.3000,-0.9200,260.7000,-0.0469
1988,22.0000,-0.1400,333.7000,-0.0093
1989,54.6000,2.1800,500.1000,0.2380
1990,18.0000,3.6800,401.0000,0.1653
1991,28.3000,0.9900,447.4000,0.0629
1992,11.1000,2.3300,238.0000,0.1084
1993,21.3000,1.9000,451.0000,0.0897
1994,28.3000,0.6500,241.6000,0.0764
1995,43.1000,0.0300,178.1000,0.0079
1996,59.2000,1.5700,356.3000,0.2602
1997,17.2000,2.2800,447.0000,0.0879
1998,13.8000,3.7700,588.5000,0.0885
1999,16.7000,-0.4000,236.2000,-0.0281
2000,44.4000,1.5200,218.3000,0.3098
2001,57.0000,1.0000,258.4000,0.2210
2002,48.8000,3.0400,334.6000,0.4437
2003,21.8000,2.8900,374.8000,0.1678
2004,48.7000,0.4100,155.4000,0.1270
2005,56.2000,0.4500,242.9000,0.1038
2006,24.7000,0.2900,352.6000,0.0205
2007,40.4000,1.2600,127.5000,0.3985
2008,15.6000,3.2700,325.3000,0.1569
2009,37.1000,2.6800,408.1000,0.2437
2010,52.0000,-0.7200,273.6000,-0.1361
2011,20.6000,1.2900,354.6000,0.0751
2012,23.8000,1.1900,311.6000,0.0910
2013,30.2000,-0.2100,504.0000,-0.0125
2014,28.1000,3.2200,458.5000,0.1971
2015,40.3000,1.8000,374.7000,0.1931
2016,34.4000,2.3800,287.5000,0.2842
2017,31.2000,3.1000,298.8500,0.3236
2018,30.6700,2.4200,320.3500,0.2320
2019,30.6700,2.4200,320.3500,0.2320
