year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,39.9000,4.5000,108.2000,1.6587
1981,29.1000,4.7600,119.3000,1.1590
1982,62.3000,2.9400,91.9000,1.9910
1983,36.9000,2.5500,91.5000,1.0255
1984,9.4000,4.2700,112.9000,0.3555
1985,22.8000,4.3600,80.5000,1.2330
1986,50.1000,3.2000,136.2000,1.1750
1987,79.5000,3.8200,96.1000,3.1583
1988,47.3000,3.5400,126.6000,1.3225
1989,55.8000,2.9900,183.1000,0.9121
1990,32.2000,3.4000,107.0000,1.0219
1991,33.6000,4.3100,134.3000,1.0783
1992,14.1000,4.5600,160.0000,0.4015
1993,71.3000,3.9400,69.9000,4.0156
1994,32.4000,4.2500,153.5000,0.8963
1995,37.1000,3.7200,103.4000,1.3317
1996,36.9000,4.8500,105.2000,1.7007
1997,23.4000,5.0500,120.3000,0.9815
1998,29.4000,5.7600,123.9000,1.3649
1999,32.3000,5.1000,124.6000,1.3210
2000,21.3000,3.8100,117.1000,0.6916
2001,40.5000,3.4900,50.9000,2.7716
2002,55.0000,4.8400,183.4000,1.4504
2003,33.4000,4.7100,76.6000,2.0509
2004,44.4000,5.3200,128.4000,1.8388
2005,23.0000,4.2300,146.8000,0.6618
2006,42.3000,3.6700,156.1000,0.9934
2007,42.0000,5.5700,186.4000,1.2553
2008,20.1000,5.0000,149.1000,0.6736
2009,51.5000,5.2200,155.0000,1.7337
2010,27.1000,4.4900,205.3000,0.5929
2011,29.9000,4.1200,151.3000,0.8134
2012,31.1000,4.0300,225.7000,0.5556
2013,25.4000,5.0500,77.1000,1.6619
2014,17.0000,4.3800,152.5000,0.4875
2015,60.5000,5.1600,117.9000,2.6460
2016,45.0000,5.2100,105.7000,2.2163
2017,49.0000,4.5500,196.4000,1.1341
2018,34.5000,5.5000,208.8000,0.9076
2019,45.0000,4.8400,141.2000,1.5411
