year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,24.6000,7.8500,204.3000,0.9444
1981,39.9000,10.1500,213.1000,1.8991
1982,11.1000,9.4400,242.8000,0.4313
1983,10.3000,9.9000,221.5000,0.4602
1984,8.5000,8.7100,322.4000,0.2296
1985,15.4000,8.7300,338.7000,0.3966
1986,19.8000,9.7200,383.4000,0.5018
1987,28.7000,7.9700,343.9000,0.6646
1988,13.3000,8.3000,208.5000,0.5291
1989,7.5000,11.3500,329.8000,0.2581
1990,35.0000,9.8900,292.2000,1.1843
1991,8.6000,8.7700,381.9000,0.1974
1992,7.5000,9.4800,319.1000,0.2227
1993,7.8000,9.8500,288.3000,0.2665
1994,12.4000,9.4300,588.8000,0.1986
1995,9.5000,8.7500,483.9000,0.1718
1996,20.2000,9.3300,272.7000,0.6908
1997,12.0000,10.1800,348.7000,0.3502
1998,13.0000,11.0100,467.8000,0.3060
1999,17.4000,8.7500,220.0000,0.6916
2000,28.7000,10.2300,232.8000,1.2610
2001,14.0000,10.0000,302.8000,0.4624
2002,8.5000,11.7200,306.3000,0.3250
2003,2.4000,10.7500,374.4000,0.0689
2004,10.9000,10.5800,296.4000,0.3888
2005,4.6000,9.0600,377.5000,0.1104
2006,28.9000,9.0700,178.8000,1.4655
2007,24.6000,9.8500,265.9000,0.9110
2008,1.2000,10.7600,366.1000,0.0352
2009,21.1000,10.2600,194.7000,1.1109
2010,19.7000,7.0600,388.4000,0.3581
2011,0.3000,9.3500,220.7000,0.0127
2012,20.3000,9.4400,364.5000,0.5256
2013,44.5000,7.9600,433.5000,0.8172
2014,12.5000,11.1300,192.2000,0.7232
2015,10.1000,10.6800,187.2000,0.5762
2016,14.5000,10.9400,361.2000,0.4391
2017,5.8000,11.2400,326.0500,0.1999
2018,10.1300,10.9500,291.4800,0.3807
2019,10.1300,10.9500,291.4800,0.3807
