year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,26.3000,5.9300,209.5000,0.7443
1981,10.0000,7.0600,366.9000,0.1923
1982,42.4000,7.4000,307.4000,1.0202
1983,37.6000,6.5200,197.4000,1.2420
1984,16.8000,6.1400,225.5000,0.4572
1985,14.2000,6.2100,296.9000,0.2967
1986,30.2000,6.5800,237.8000,0.8348
1987,12.2000,7.0400,252.1000,0.3406
1988,31.2000,5.3100,429.7000,0.3852
1989,22.3000,6.4800,202.2000,0.7148
1990,83.3000,6.1900,262.8000,1.9614
1991,39.5000,6.6300,174.5000,1.4998
1992,37.8000,6.9800,343.4000,0.7680
1993,17.6000,6.4600,293.0000,0.3882
1994,36.2000,7.6200,325.5000,0.8473
1995,7.9000,5.8400,340.2000,0.1356
1996,11.7000,5.3300,374.7000,0.1665
1997,14.4000,7.9600,282.5000,0.4056
1998,28.4000,8.6200,308.8000,0.7925
1999,13.3000,8.3900,168.5000,0.6622
2000,26.8000,7.6700,287.3000,0.7154
2001,37.8000,7.7200,188.7000,1.5451
2002,23.4000,8.1700,258.4000,0.7394
2003,34.0000,7.7100,345.9000,0.7573
2004,28.4000,8.1100,251.9000,0.9141
2005,20.5000,7.1600,207.7000,0.7068
2006,19.0000,7.8800,177.0000,0.8458
2007,57.2000,7.4100,357.1000,1.1869
2008,22.4000,7.9100,263.3000,0.6729
2009,16.3000,8.4300,223.3000,0.6154
2010,34.8000,5.8600,296.2000,0.6887
2011,30.4000,5.9600,280.3000,0.6463
2012,27.4000,8.3100,287.3000,0.7918
2013,29.9000,9.0900,475.8000,0.5712
2014,18.2000,8.9200,331.7000,0.4895
2015,34.0000,8.1600,160.8000,1.7249
2016,35.4000,8.7200,293.8000,1.0501
2017,22.2000,8.3200,339.9000,0.5433
2018,30.2000,10.6300,343.3000,0.9345
2019,14.6000,8.6000,292.6300,0.4287
