year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,44.0000,7.3100,292.9000,1.0972
1981,69.8000,9.0200,331.8000,1.8975
1982,32.1000,8.9400,378.4000,0.7580
1983,18.1000,9.4400,466.9000,0.3659
1984,17.9000,7.2700,503.2000,0.2585
1985,41.9000,7.9500,583.0000,0.5713
1986,44.1000,8.3600,581.3000,0.6339
1987,46.6000,7.2700,363.5000,0.9321
1988,29.0000,7.2000,492.1000,0.4242
1989,9.7000,10.0200,277.9000,0.3497
1990,56.7000,9.3400,278.7000,1.8995
1991,14.2000,8.0500,610.6000,0.1872
1992,13.2000,8.9600,403.3000,0.2932
1993,22.2000,8.8900,439.8000,0.4487
1994,21.4000,9.0800,845.5000,0.2298
1995,12.4000,8.0700,499.4000,0.2004
1996,21.9000,8.7100,358.8000,0.5315
1997,36.6000,9.2600,358.8000,0.9441
1998,29.0000,11.3700,606.6000,0.5437
1999,49.7000,7.9800,279.1000,1.4198
2000,72.7000,9.1600,201.8000,3.2967
2001,17.3000,9.7700,359.0000,0.4704
2002,32.1000,11.2100,315.5000,1.1398
2003,35.1000,9.9300,461.6000,0.7548
2004,44.4000,9.9200,557.1000,0.7901
2005,20.8000,8.2400,621.1000,0.2760
2006,30.2000,8.5700,355.3000,0.7284
2007,54.0000,9.0500,410.8000,1.1892
2008,42.1000,10.9300,540.4000,0.8514
2009,65.0000,9.8500,279.4000,2.2915
2010,105.7000,6.4600,721.9000,0.9459
2011,10.4000,8.4700,319.7000,0.2755
2012,46.3000,8.8200,519.0000,0.7868
2013,76.0000,7.5200,630.7000,0.9061
2014,18.7000,10.6600,403.8000,0.4937
2015,62.4000,10.0700,454.0000,1.3843
2016,35.2000,10.3600,637.9000,0.5717
2017,21.3000,10.5500,372.1000,0.6036
2018,42.0000,10.5300,261.6000,1.6900
2019,37.6000,10.9200,616.6000,0.6660
