year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,30.8000,11.6700,238.3000,1.5072
1981,13.2000,13.9400,284.3000,0.6468
1982,6.2000,14.2200,297.4000,0.2964
1983,4.8000,13.4900,158.7000,0.4079
1984,12.8000,12.0500,272.1000,0.5668
1985,22.3000,12.0500,364.2000,0.7376
1986,39.7000,13.6100,271.1000,1.9921
1987,22.3000,12.5900,334.1000,0.8401
1988,9.1000,12.6800,730.9000,0.1579
1989,3.8000,14.5800,191.0000,0.2899
1990,75.3000,13.0600,284.5000,3.4545
1991,14.5000,12.2000,540.1000,0.3274
1992,7.1000,13.8900,295.1000,0.3341
1993,21.8000,14.0000,252.3000,1.2093
1994,10.4000,14.0200,750.2000,0.1943
1995,10.0000,13.6000,526.6000,0.2582
1996,2.7000,13.5500,359.0000,0.1019
1997,56.8000,14.3500,186.1000,4.3788
1998,34.8000,14.7900,216.0000,2.3819
1999,1.1000,13.7200,199.1000,0.0758
2000,11.0000,14.8700,272.1000,0.6009
2001,21.6000,15.5300,333.4000,1.0057
2002,5.9000,15.4800,250.5000,0.3644
2003,13.9000,14.6900,321.6000,0.6349
2004,15.8000,14.7900,291.3000,0.8020
2005,20.1000,14.3100,303.8000,0.9462
2006,8.3000,14.0900,177.5000,0.6583
2007,40.0000,14.7300,421.6000,1.3974
2008,8.5000,15.2800,489.6000,0.2652
2009,26.5000,15.4100,355.4000,1.1486
2010,29.8000,12.7900,327.4000,1.1641
2011,15.5000,14.8400,307.3000,0.7484
2012,16.5000,14.1000,426.7000,0.5450
2013,20.6000,12.8700,240.8000,1.1001
2014,8.9000,15.5200,398.5000,0.3465
2015,50.2000,14.8200,275.7000,2.6982
2016,11.5000,15.2100,394.4000,0.4434
2017,19.1000,15.7500,232.6000,1.2928
2018,12.9000,14.9300,440.4000,0.4373
2019,10.8000,15.3600,281.4000,0.5892
