year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,44.4000,7.3000,228.2000,1.4201
1981,11.4000,7.4100,324.5000,0.2603
1982,49.7000,6.1700,138.3000,2.2140
1983,27.0000,5.6500,207.3000,0.7361
1984,16.4000,6.3800,187.5000,0.5582
1985,6.9000,6.8600,294.1000,0.1608
1986,21.1000,6.0900,168.5000,0.7620
1987,21.3000,6.9800,172.7000,0.8610
1988,21.3000,6.0300,251.4000,0.5110
1989,24.5000,6.1200,259.0000,0.5783
1990,21.0000,6.5700,224.6000,0.6136
1991,28.7000,7.0000,179.4000,1.1194
1992,20.9000,7.1500,219.5000,0.6807
1993,48.2000,7.0000,171.4000,1.9670
1994,30.7000,7.0500,231.5000,0.9342
1995,27.0000,6.6200,335.9000,0.5322
1996,36.3000,6.1300,175.8000,1.2642
1997,17.5000,7.7200,174.6000,0.7732
1998,41.7000,8.5300,177.9000,1.9979
1999,10.0000,7.9300,271.4000,0.2921
2000,18.6000,7.7900,140.5000,1.0300
2001,8.8000,6.9900,131.5000,0.4673
2002,25.3000,7.7600,180.6000,1.0866
2003,22.8000,7.5800,251.3000,0.6872
2004,49.6000,8.1300,256.2000,1.5734
2005,22.3000,7.6900,194.3000,0.8827
2006,15.0000,7.4100,200.5000,0.5540
2007,25.2000,8.4700,286.3000,0.7456
2008,31.5000,8.9400,276.4000,1.0188
2009,13.7000,8.3300,203.9000,0.5594
2010,8.5000,8.1300,181.6000,0.3804
2011,20.8000,7.1100,245.9000,0.6012
2012,27.2000,7.6300,223.3000,0.9294
2013,9.9000,9.2500,179.3000,0.5104
2014,12.0000,8.5400,242.3000,0.4229
2015,16.2000,8.8600,193.0000,0.7436
2016,10.7000,8.6200,222.5000,0.4143
2017,39.4000,7.3000,178.4000,1.6111
2018,19.1000,9.3800,393.5000,0.4551
2019,8.6000,8.6700,242.7000,0.3071
