year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,14.2000,8.4900,393.0000,0.3069
1981,11.4000,10.2300,489.3000,0.2382
1982,12.0000,10.0100,369.2000,0.3252
1983,35.1000,9.8600,250.0000,1.3839
1984,21.9000,9.1100,436.9000,0.4567
1985,33.3000,8.6300,544.4000,0.5279
1986,21.7000,9.8200,657.0000,0.3244
1987,21.0000,8.2200,388.2000,0.4444
1988,9.6000,8.6300,394.0000,0.2102
1989,18.2000,11.0100,128.7000,1.5556
1990,47.6000,9.4000,217.6000,2.0558
1991,35.6000,8.8800,417.2000,0.7579
1992,15.2000,10.0500,232.9000,0.6553
1993,6.4000,10.2100,331.9000,0.1969
1994,16.3000,9.9100,606.2000,0.2664
1995,28.1000,9.0200,552.3000,0.4589
1996,12.8000,9.2400,511.7000,0.2311
1997,40.0000,10.4600,407.6000,1.0260
1998,26.1000,10.4900,369.9000,0.7400
1999,12.7000,9.6000,229.5000,0.5311
2000,27.5000,9.8200,214.7000,1.2570
2001,26.7000,10.1000,448.4000,0.6015
2002,3.2000,11.4000,219.4000,0.1662
2003,14.0000,10.5700,341.6000,0.4331
2004,26.4000,10.6700,625.5000,0.4503
2005,11.6000,9.1700,336.4000,0.3161
2006,21.4000,9.3800,422.0000,0.4755
2007,76.9000,10.7000,441.0000,1.8650
2008,2.1000,10.4800,364.4000,0.0604
2009,35.2000,10.3700,343.5000,1.0620
2010,32.0000,7.7900,665.7000,0.3744
2011,6.4000,9.7200,469.9000,0.1324
2012,52.9000,9.6100,597.9000,0.8502
2013,56.7000,8.6100,544.2000,0.8973
2014,8.1000,11.4800,174.7000,0.5321
2015,45.5000,11.0000,336.9000,1.4849
2016,22.0000,11.1300,390.9000,0.6263
2017,21.5000,11.3900,291.4000,0.8403
2018,24.6000,10.3600,407.1000,0.6257
2019,29.4000,11.0200,476.0000,0.6807
