year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,12.6000,6.1300,258.8000,0.2983
1981,31.1000,6.8300,339.2000,0.6264
1982,10.8000,6.9800,337.9000,0.2231
1983,18.7000,7.5700,355.0000,0.3985
1984,27.2000,5.0800,294.3000,0.4697
1985,24.6000,6.3500,272.0000,0.5739
1986,29.2000,6.3800,526.8000,0.3534
1987,26.3000,5.4200,398.1000,0.3579
1988,20.1000,4.9900,264.1000,0.3796
1989,13.9000,7.1900,284.1000,0.3517
1990,92.8000,7.8500,305.3000,2.3857
1991,19.4000,6.2300,269.0000,0.4493
1992,15.1000,6.4200,291.5000,0.3323
1993,22.5000,6.9300,259.4000,0.6011
1994,16.8000,5.9000,353.4000,0.2804
1995,15.9000,5.9500,502.4000,0.1883
1996,12.7000,6.6000,293.5000,0.2856
1997,35.6000,6.8100,253.5000,0.9561
1998,32.0000,9.4300,296.7000,1.0168
1999,44.6000,5.9700,302.1000,0.8807
2000,39.8000,6.6800,530.7000,0.5009
2001,12.0000,6.8200,312.6000,0.2617
2002,55.7000,8.6700,412.1000,1.1721
2003,17.1000,7.6600,248.2000,0.5276
2004,49.4000,7.0200,198.7000,1.7440
2005,13.4000,6.0900,325.7000,0.2506
2006,79.6000,6.0300,248.0000,1.9358
2007,67.6000,6.0900,262.3000,1.5690
2008,12.5000,8.2200,246.0000,0.4175
2009,48.4000,7.7300,264.0000,1.4171
2010,53.7000,4.6000,326.5000,0.7565
2011,11.3000,5.5200,164.1000,0.3798
2012,23.5000,6.0700,381.4000,0.3736
2013,35.7000,5.2800,383.2000,0.4915
2014,20.3000,8.0500,259.6000,0.6290
2015,46.0000,8.2200,351.4000,1.0754
2016,64.1000,7.9700,481.6000,1.0599
2017,17.4000,8.3500,267.7000,0.5426
2018,38.2000,8.0700,433.1000,0.7114
2019,17.3000,8.4600,472.5300,0.3095
