year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,9.7000,14.1800,250.2000,0.5497
1981,13.3000,15.9600,267.8000,0.7924
1982,5.9000,15.2800,523.7000,0.1721
1983,1.2000,14.2100,245.0000,0.0696
1984,3.9000,14.5400,271.4000,0.2088
1985,8.7000,14.0500,193.2000,0.6323
1986,14.1000,14.7500,94.3000,2.2026
1987,13.4000,14.3100,260.7000,0.7352
1988,10.1000,13.7900,340.2000,0.4093
1989,63.6000,14.5300,356.7000,2.5908
1990,32.4000,14.3600,257.6000,1.8060
1991,24.4000,13.7100,122.9000,2.7203
1992,12.8000,15.0900,258.0000,0.7482
1993,6.2000,14.2900,260.7000,0.3397
1994,15.4000,15.5400,195.5000,1.2238
1995,2.5000,15.3300,271.0000,0.1414
1996,10.9000,14.1800,306.7000,0.5039
1997,8.6000,16.2300,87.4000,1.5948
1998,28.1000,15.2000,361.1000,1.1822
1999,13.4000,16.2200,178.9000,1.2144
2000,9.6000,17.3600,212.2000,0.7851
2001,16.6000,16.8900,173.9000,1.6110
2002,11.2000,16.2500,207.7000,0.8758
2003,12.8000,15.1400,318.2000,0.6089
2004,10.6000,16.7200,176.8000,1.0021
2005,2.6000,16.6900,144.2000,0.3008
2006,17.1000,16.3900,163.2000,1.7161
2007,5.8000,16.6100,458.7000,0.2099
2008,16.5000,16.4100,198.8000,1.3612
2009,4.7000,15.6600,185.3000,0.3969
2010,8.5000,14.6800,362.5000,0.3442
2011,8.8000,15.2800,218.9000,0.6138
2012,2.3000,15.7600,167.9000,0.2157
2013,9.5000,17.0400,211.6000,0.7646
2014,7.3000,16.9000,300.9000,0.4098
2015,8.0000,15.7200,189.5000,0.6634
2016,2.7000,16.2400,168.8000,0.2597
2017,12.0000,15.9500,186.1000,1.0278
2018,13.3000,17.2000,140.0000,1.6326
2019,11.7000,16.3600,225.8000,0.8475
