year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,30.5000,6.7200,296.1000,0.6918
1981,51.8000,6.8300,395.2000,0.8946
1982,78.0000,5.5900,217.0000,2.0089
1983,31.9000,5.5500,304.7000,0.5806
1984,31.1000,6.2100,408.7000,0.4726
1985,15.9000,6.8000,382.1000,0.2830
1986,32.6000,5.7700,292.7000,0.6424
1987,29.2000,6.6100,210.6000,0.9165
1988,34.5000,5.7000,320.2000,0.6142
1989,50.6000,5.4100,327.3000,0.8354
1990,24.5000,6.4400,293.4000,0.5372
1991,55.8000,6.3800,209.2000,1.7002
1992,25.1000,6.8100,383.1000,0.4458
1993,46.5000,6.6900,299.1000,1.0391
1994,37.0000,6.6800,246.6000,1.0024
1995,45.9000,6.0500,326.2000,0.8510
1996,44.5000,5.7900,297.4000,0.8656
1997,31.0000,7.4700,145.2000,1.5932
1998,18.2000,8.0600,284.9000,0.5145
1999,18.0000,7.3800,269.2000,0.4936
2000,19.3000,7.2800,266.6000,0.5271
2001,17.0000,6.4800,276.8000,0.3975
2002,16.5000,7.3000,188.7000,0.6382
2003,27.1000,7.3900,356.2000,0.5618
2004,27.9000,7.8900,285.8000,0.7700
2005,49.9000,7.1400,278.4000,1.2786
2006,10.4000,6.8500,373.3000,0.1908
2007,29.9000,7.5800,262.6000,0.8633
2008,32.5000,8.0600,283.2000,0.9241
2009,22.5000,7.2400,206.1000,0.7898
2010,21.4000,6.9800,272.5000,0.5483
2011,28.7000,6.2200,238.3000,0.7486
2012,26.3000,7.0500,317.8000,0.5830
2013,9.5000,8.2600,374.5000,0.2094
2014,49.3000,7.8300,286.5000,1.3475
2015,26.3000,8.2300,252.8000,0.8555
2016,7.8000,8.4800,260.2000,0.2540
2017,64.0000,6.8500,273.0000,1.6058
2018,38.1000,8.9200,405.7000,0.8375
2019,36.8000,8.3500,352.3000,0.8717
