year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,36.1000,9.3400,15.5000,21.6193
1981,15.9000,12.1200,36.5000,5.2660
1982,6.4000,12.3300,47.8000,1.6473
1983,19.1000,12.2200,68.9000,3.3834
1984,10.5000,10.1800,64.5000,1.6542
1985,35.7000,8.7800,68.2000,4.5878
1986,33.4000,10.6100,58.2000,6.0808
1987,40.2000,9.5400,81.1000,4.7215
1988,45.2000,8.2100,83.4000,4.4447
1989,29.9000,10.0300,29.2000,10.2392
1990,21.2000,11.3200,45.1000,5.3112
1991,26.9000,11.2400,43.7000,6.9019
1992,27.0000,11.4400,36.2000,8.5101
1993,27.6000,10.0600,104.2000,2.6612
1994,14.8000,9.6300,65.2000,2.1820
1995,16.0000,11.5100,91.0000,2.0217
1996,27.3000,9.9800,54.5000,4.9913
1997,11.8000,15.0100,39.4000,4.4843
1998,41.9000,9.2100,43.9000,8.7671
1999,42.0000,10.6600,138.7000,3.2266
2000,26.6000,13.0600,52.2000,6.6423
2001,12.2000,12.9400,97.4000,1.6189
2002,36.0000,10.4400,35.1000,10.6742
2003,42.9000,9.4200,50.2000,8.0310
2004,58.2000,12.3400,56.0000,12.7976
2005,89.6000,12.1500,34.7000,31.2744
2006,29.9000,12.4000,41.6000,8.8935
2007,32.8000,12.2100,83.9000,4.7664
2008,25.1000,14.1300,33.6000,10.5220
2009,29.9000,12.5300,37.8000,9.8846
2010,148.0000,7.8400,34.6000,33.4488
2011,50.0000,10.2500,72.0000,7.1074
2012,32.0000,12.9300,38.3000,10.7754
2013,26.1000,13.2700,74.1000,4.6684
2014,41.6000,10.9700,36.6000,12.4342
2015,42.7000,12.8300,52.3000,10.4553
2016,43.1000,12.1900,89.8000,5.8453
2017,29.7000,10.3900,43.7000,7.0439
2018,34.8300,11.8000,61.9300,6.6280
2019,34.8300,11.8000,61.9300,6.6280
