year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,6.3000,14.0100,348.9000,0.2529
1981,21.7000,16.8100,304.9000,1.1958
1982,8.7000,16.8600,398.1000,0.3683
1983,12.2000,15.8700,252.6000,0.7663
1984,21.5000,14.5200,441.6000,0.7067
1985,17.5000,14.0600,302.3000,0.8135
1986,14.7000,16.1200,255.8000,0.9257
1987,13.6000,14.8500,713.9000,0.2828
1988,4.4000,14.8100,422.5000,0.1542
1989,26.1000,16.1700,212.8000,1.9828
1990,28.9000,14.9700,536.1000,0.8067
1991,26.3000,13.9200,514.5000,0.7115
1992,22.0000,15.2900,347.3000,0.9684
1993,7.5000,15.3700,478.4000,0.2408
1994,27.6000,16.3800,668.0000,0.6767
1995,2.2000,15.7500,426.2000,0.0813
1996,0.5000,15.0300,749.0000,0.0100
1997,3.6000,15.9400,274.2000,0.2092
1998,24.3000,16.0400,567.1000,0.6873
1999,1.5000,15.5300,350.2000,0.0665
2000,34.2000,16.3000,447.3000,1.2458
2001,71.7000,16.7100,407.2000,2.9410
2002,20.0000,16.1000,195.1000,1.6494
2003,21.5000,14.8400,523.3000,0.6094
2004,6.3000,16.2400,767.6000,0.1333
2005,25.1000,15.5800,532.7000,0.7337
2006,8.7000,16.0800,403.1000,0.3470
2007,24.8000,16.0700,539.4000,0.7387
2008,12.7000,16.3000,467.9000,0.4422
2009,4.0000,15.8700,365.5000,0.1736
2010,36.4000,13.7000,661.3000,0.7540
2011,19.1000,15.0400,361.5000,0.7944
2012,28.0000,16.1500,369.7000,1.2226
2013,33.9000,15.2400,549.5000,0.9398
2014,9.1000,17.9300,309.3000,0.5272
2015,5.2000,15.8100,396.3000,0.2074
2016,50.9000,17.0700,819.0000,1.0605
2017,12.6000,17.0300,425.5000,0.5042
2018,6.2000,16.9500,623.9000,0.1685
2019,7.4000,16.7900,526.4000,0.2360
