year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,23.5000,11.2200,272.2000,0.9681
1981,7.9000,13.4000,396.7000,0.2667
1982,3.7000,13.0000,608.5000,0.0790
1983,30.7000,12.5200,411.1000,0.9346
1984,30.3000,11.1100,541.0000,0.6221
1985,10.4000,10.7900,667.3000,0.1681
1986,15.1000,12.4300,544.8000,0.3446
1987,21.8000,10.9200,459.4000,0.5182
1988,14.5000,11.2800,455.3000,0.3592
1989,3.5000,13.5100,260.2000,0.1816
1990,27.5000,12.0000,475.8000,0.6936
1991,11.8000,11.2200,581.0000,0.2279
1992,1.1000,12.4800,275.9000,0.0498
1993,4.1000,12.5700,383.8000,0.1343
1994,8.6000,12.7500,489.6000,0.2240
1995,13.5000,12.1000,535.5000,0.3049
1996,2.4000,12.4400,423.4000,0.0705
1997,22.9000,13.4600,232.5000,1.3250
1998,2.3000,13.8300,584.7000,0.0544
1999,4.6000,12.3300,234.5000,0.2417
2000,16.5000,13.4300,251.6000,0.8804
2001,18.6000,13.8800,378.4000,0.6820
2002,5.0000,14.6800,222.8000,0.3294
2003,14.5000,13.9200,278.6000,0.7244
2004,4.5000,13.9600,389.6000,0.1611
2005,18.5000,13.0200,533.5000,0.4513
2006,10.7000,13.0700,294.4000,0.4750
2007,40.4000,13.3000,314.2000,1.7096
2008,8.9000,13.2100,397.9000,0.2955
2009,9.9000,13.3900,358.8000,0.3694
2010,21.2000,10.9800,369.8000,0.6294
2011,10.9000,12.6700,489.9000,0.2818
2012,16.2000,12.8400,545.0000,0.3817
2013,6.7000,11.6900,403.3000,0.1942
2014,12.9000,14.6500,368.9000,0.5120
2015,16.2000,13.4900,225.3000,0.9698
2016,15.9000,14.4200,527.4000,0.4346
2017,21.6000,14.8000,348.1000,0.9180
2018,13.4000,14.1900,411.3000,0.4621
2019,9.6000,14.2800,262.8000,0.5215
