year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,27.6000,7.6800,109.6000,1.9335
1981,1.6000,9.4300,232.3000,0.0649
1982,3.1000,9.6800,103.4000,0.2900
1983,3.7000,8.8400,183.8000,0.1779
1984,11.9000,8.3500,183.8000,0.5404
1985,6.4000,7.8300,254.7000,0.1968
1986,25.2000,9.1800,145.2000,1.5920
1987,9.3000,9.4300,84.3000,1.0390
1988,9.1000,7.6200,280.7000,0.2468
1989,23.4000,9.4900,186.8000,1.1880
1990,14.5000,9.1800,257.2000,0.5174
1991,39.6000,8.2700,106.6000,3.0703
1992,22.3000,9.4200,264.1000,0.7955
1993,12.0000,9.4800,175.1000,0.6491
1994,13.1000,10.2500,289.7000,0.4632
1995,5.8000,8.3600,209.7000,0.2310
1996,11.8000,8.2200,348.3000,0.2785
1997,7.9000,10.7000,344.0000,0.2457
1998,17.0000,10.8200,154.3000,1.1913
1999,5.1000,10.7800,149.4000,0.3679
2000,10.7000,10.4100,112.2000,0.9921
2001,10.8000,10.2100,162.1000,0.6795
2002,12.9000,9.9600,111.6000,1.1504
2003,27.2000,9.5100,235.5000,1.0982
2004,16.2000,10.6200,261.8000,0.6568
2005,8.4000,9.8800,97.5300,0.8498
2006,10.5000,10.7400,225.5000,0.4999
2007,22.4000,10.0500,93.1000,2.4160
2008,4.5000,10.8800,193.0300,0.2536
2009,7.0000,10.9300,136.4000,0.5604
2010,5.9000,7.8800,109.5000,0.4245
2011,15.1000,8.9700,103.6000,1.3067
2012,14.8000,10.4500,277.1000,0.5582
2013,3.1000,10.6000,149.7000,0.2194
2014,5.8000,11.0400,245.9000,0.2604
2015,14.9000,9.8600,50.4000,2.9104
2016,4.6000,10.6600,256.3000,0.1912
2017,29.8000,10.2200,101.2000,3.0054
2018,4.0000,12.1000,198.0000,0.2444
2019,11.1000,10.2100,166.7000,0.6791
