year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,8.7000,11.2800,519.8000,0.1887
1981,14.8000,13.7700,346.4000,0.5880
1982,30.2000,13.9500,425.8000,0.9895
1983,23.7000,12.9900,200.4000,1.5354
1984,10.3000,11.9900,606.7000,0.2036
1985,42.1000,12.0000,523.3000,0.9651
1986,18.8000,13.2500,353.3000,0.7049
1987,19.6000,12.4200,337.8000,0.7203
1988,14.8000,12.3500,319.8000,0.5714
1989,59.8000,13.5000,267.2000,3.0192
1990,32.9000,12.7100,687.2000,0.6083
1991,40.8000,11.4800,438.1000,1.0691
1992,30.8000,12.6400,249.8000,1.5582
1993,20.3000,12.5700,520.1000,0.4906
1994,30.6000,13.6100,549.2000,0.7582
1995,13.1000,12.8300,646.1000,0.2600
1996,10.3000,12.2800,504.7000,0.2506
1997,3.6000,13.5000,380.0000,0.1279
1998,49.9000,13.2700,640.6000,1.0337
1999,0.1000,13.8000,225.4000,0.0061
2000,28.8000,13.8200,409.6000,0.9717
2001,55.2000,14.1400,679.6000,1.1484
2002,13.3000,14.3200,216.8000,0.8782
2003,17.6000,12.8700,512.4000,0.4418
2004,11.2000,14.2700,642.8000,0.2486
2005,26.5000,13.2200,430.4000,0.8137
2006,24.8000,13.9900,443.7000,0.7820
2007,16.0000,14.3600,555.0000,0.4139
2008,12.1000,14.1800,513.9000,0.3337
2009,9.7000,14.0200,550.3000,0.2471
2010,14.4000,11.8200,424.0000,0.4014
2011,29.4000,13.1300,607.6000,0.6354
2012,46.1000,14.2500,534.2000,1.2299
2013,16.9000,13.1400,508.3000,0.4368
2014,13.2000,16.0800,233.8000,0.9075
2015,6.4000,14.1600,344.1000,0.2633
2016,28.3000,15.1900,482.3000,0.8909
2017,29.3000,15.0500,524.1000,0.8413
2018,12.7000,15.3700,642.4000,0.3038
2019,18.1000,14.6600,553.4000,0.4795
