year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,2.5000,10.2700,68.3000,0.3753
1981,1.9000,11.3800,99.9000,0.2163
1982,4.8000,10.8200,57.8000,0.8973
1983,2.9000,9.6700,90.1000,0.3108
1984,2.2000,10.5900,158.9000,0.1465
1985,3.3000,10.6700,213.9000,0.1645
1986,4.6000,10.6400,168.8000,0.2898
1987,7.9000,11.0100,86.7000,1.0021
1988,5.2000,9.9700,124.4000,0.4163
1989,9.6000,10.5400,95.1000,1.0632
1990,8.4000,10.9600,138.1000,0.6662
1991,22.7000,10.7800,132.9000,1.8400
1992,8.2000,11.0100,150.2000,0.6005
1993,11.0000,11.1000,162.6000,0.7503
1994,4.8000,11.4500,156.1000,0.3519
1995,4.2000,10.4800,208.3000,0.2111
1996,9.5000,9.8700,165.8000,0.5654
1997,4.8000,12.3800,132.7000,0.4476
1998,7.1000,12.2700,159.5000,0.5458
1999,2.7000,11.8700,154.2000,0.2076
2000,7.1000,12.1200,136.2000,0.6315
2001,20.7000,10.9600,112.0000,2.0238
2002,8.5000,11.4300,92.5000,1.0490
2003,4.5000,11.5600,139.5000,0.3727
2004,5.4000,12.0000,89.7000,0.7215
2005,9.6000,11.9900,63.0000,1.8245
2006,9.3000,11.7600,41.1000,2.6538
2007,20.7000,12.1300,175.2000,1.4321
2008,15.0000,12.8700,73.4000,2.6264
2009,3.6000,12.4400,100.5000,0.4453
2010,2.8000,10.5700,54.1000,0.5462
2011,5.6000,10.8600,118.0000,0.5150
2012,5.7000,11.9200,122.3000,0.5551
2013,6.5000,13.5500,101.9000,0.8636
2014,7.8000,12.3200,145.9000,0.6583
2015,11.6000,12.4100,67.4000,2.1330
2016,9.3000,12.5900,106.9000,1.0944
2017,10.8000,11.7400,173.5000,0.7304
2018,2.2000,13.9900,156.6000,0.1964
2019,3.9000,12.9100,139.6000,0.3605
