year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,49.3000,4.6300,381.8000,0.5979
1981,30.7000,6.6300,456.7000,0.4458
1982,34.1000,6.9900,349.3000,0.6818
1983,28.4000,7.0500,316.1000,0.6335
1984,36.0000,5.0200,464.2000,0.3895
1985,24.5000,6.2800,592.5000,0.2598
1986,17.4000,6.0800,411.5000,0.2572
1987,31.6000,4.5600,421.8000,0.3416
1988,54.5000,4.8500,374.5000,0.7051
1989,17.1000,7.3100,220.3000,0.5675
1990,42.6000,7.9300,338.9000,0.9962
1991,27.2000,6.3300,407.4000,0.4223
1992,14.1000,6.6400,307.6000,0.3041
1993,27.8000,6.9300,376.4000,0.5120
1994,26.6000,6.0800,612.8000,0.2638
1995,14.2000,5.4800,239.1000,0.3251
1996,17.8000,7.5700,318.1000,0.4236
1997,10.1000,7.1000,359.7000,0.1994
1998,30.7000,9.7500,435.0000,0.6878
1999,36.2000,4.6700,313.3000,0.5392
2000,40.0000,6.9900,292.1000,0.9572
2001,31.1000,6.9100,268.4000,0.8004
2002,22.7000,9.1100,481.3000,0.4298
2003,10.6000,8.9600,347.5000,0.2733
2004,34.5000,7.0800,337.0000,0.7251
2005,22.7000,6.0100,337.0000,0.4047
2006,12.2000,6.7500,346.3000,0.2377
2007,60.9000,6.2500,196.8000,1.9334
2008,23.3000,9.4700,198.3000,1.1125
2009,48.0000,8.0300,351.7000,1.0963
2010,99.2000,4.2500,310.8000,1.3561
2011,14.3000,6.4300,265.5000,0.3462
2012,33.5000,6.9400,499.3000,0.4657
2013,34.0000,5.0000,410.1000,0.4141
2014,14.7000,7.8400,246.5700,0.4670
2015,37.9000,7.1500,240.7000,1.1260
2016,18.0000,8.0200,282.0000,0.5119
2017,19.2000,8.0300,357.6000,0.4312
2018,25.4000,7.3000,480.4000,0.3859
2019,33.9000,8.0500,405.2000,0.6735
