year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,14.4000,6.7600,116.2000,0.8371
1981,43.5000,8.5900,273.4000,1.3670
1982,18.4000,8.1500,185.8000,0.8067
1983,12.9000,8.9200,229.7000,0.5007
1984,2.1000,7.0900,285.3000,0.0522
1985,8.4000,7.6600,248.3000,0.2592
1986,13.5000,8.3600,303.7000,0.3717
1987,13.1000,6.9100,265.7000,0.3407
1988,7.4000,7.0000,246.7000,0.2100
1989,11.9000,9.4500,241.3000,0.4656
1990,30.0000,8.8100,218.4000,1.2093
1991,2.0000,7.7100,416.9000,0.0370
1992,5.6000,8.5800,359.7000,0.1335
1993,11.8000,8.6600,300.6000,0.3398
1994,9.4000,8.4400,465.1000,0.1706
1995,8.0000,7.5300,292.2000,0.2062
1996,18.9000,8.2700,169.2000,0.9228
1997,11.9000,9.1300,280.8000,0.3867
1998,20.1000,10.7600,440.9000,0.4906
1999,22.6000,7.2400,200.1000,0.8177
2000,18.9000,9.2400,188.1000,0.9279
2001,5.6000,8.9300,188.3000,0.2654
2002,0.9000,11.0700,174.2000,0.0572
2003,2.5000,9.9500,208.9000,0.1190
2004,7.4000,9.4100,202.4000,0.3437
2005,2.4000,8.1000,348.2000,0.0558
2006,40.1000,8.1800,375.6000,0.8735
2007,10.4000,8.8300,116.7000,0.7864
2008,13.0000,10.5700,226.7000,0.6057
2009,6.5000,9.6500,173.0000,0.3624
2010,15.3000,6.2300,136.5000,0.6978
2011,3.1000,8.4000,154.0000,0.1690
2012,17.0000,8.6600,261.8000,0.5618
2013,31.5000,7.5800,262.2000,0.9103
2014,5.8000,10.6000,220.6000,0.2787
2015,16.4000,10.1900,345.1000,0.4843
2016,8.3000,10.2700,236.7000,0.3601
2017,4.9000,10.8700,388.4000,0.1371
2018,10.9000,10.2700,311.0000,0.3597
2019,29.3000,11.0000,277.0300,1.1625
