year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,35.5000,-1.6100,270.9000,-0.2114
1981,60.6000,-1.8400,236.5000,-0.4702
1982,67.3000,-2.1600,289.7000,-0.5016
1983,70.4000,-2.8500,321.7000,-0.6240
1984,57.1000,-0.7100,248.8000,-0.1638
1985,58.1000,-1.2200,246.1000,-0.2870
1986,62.1000,-1.8100,247.0000,-0.4551
1987,73.4000,-1.5700,330.5000,-0.3494
1988,68.2000,-1.3700,246.5000,-0.3803
1989,116.0000,-1.9000,273.0000,-0.8075
1990,56.9000,-2.8600,180.8000,-0.9002
1991,33.1000,-0.9400,321.6000,-0.0963
1992,52.7000,-0.9200,235.9000,-0.2049
1993,94.7000,-1.5800,333.0000,-0.4481
1994,37.3000,-1.5300,215.8000,-0.2638
1995,44.9000,-0.6600,244.6000,-0.1217
1996,51.7000,-0.0800,218.0000,-0.0198
1997,71.5000,-2.2200,185.6000,-0.8533
1998,60.4000,-0.5600,209.0000,-0.1604
1999,40.8000,0.3600,298.3000,0.0490
2000,47.1000,-2.2200,191.4000,-0.5470
2001,61.3000,-2.6000,240.1000,-0.6638
2002,63.4000,-1.4400,185.1000,-0.4919
2003,40.5000,-0.9900,274.1000,-0.1461
2004,59.4000,-0.5200,311.3000,-0.0997
2005,69.9000,-1.0100,368.9000,-0.1909
2006,60.3000,-1.2600,235.8000,-0.3209
2007,43.2000,-0.5000,298.2000,-0.0718
2008,53.9000,-0.6300,295.8000,-0.1146
2009,66.4000,-0.3100,307.9000,-0.0675
2010,66.6000,-0.4300,337.7000,-0.0855
2011,91.8000,-1.0500,257.9000,-0.3736
2012,90.3000,-0.9300,396.1000,-0.2111
2013,96.6000,-0.8600,248.0300,-0.3343
2014,43.4000,-0.2900,279.0000,-0.0446
2015,53.8000,-0.5400,125.2000,-0.2324
2016,85.2000,-0.6000,145.3000,-0.3503
2017,95.4000,-0.8000,215.6000,-0.3519
2018,66.1300,-0.1800,274.9000,-0.0441
2019,89.6000,-0.7200,250.1000,-0.2573
