year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,13.1000,6.2900,130.1000,0.6332
1981,32.9000,8.3900,230.1000,1.1990
1982,8.6000,8.1200,100.8000,0.6924
1983,9.3000,8.7800,263.9000,0.3094
1984,0.7000,7.0100,280.4000,0.0175
1985,9.7000,7.6000,344.9000,0.2136
1986,21.8000,8.2900,298.5000,0.6050
1987,10.1000,6.8100,270.7000,0.2539
1988,5.8000,7.1000,91.7000,0.4483
1989,7.3000,9.4200,147.6000,0.4653
1990,43.0000,8.6300,200.4000,1.8518
1991,19.0000,7.6800,299.6000,0.4867
1992,13.3000,8.4000,204.5000,0.5460
1993,8.5000,8.4600,313.3000,0.2294
1994,8.2000,8.2800,286.3000,0.2370
1995,6.1000,7.3700,198.5000,0.2265
1996,13.0000,8.3600,179.6000,0.6048
1997,12.2000,8.8500,232.8000,0.4635
1998,18.1000,10.7200,470.0000,0.4128
1999,9.6000,7.1400,145.9000,0.4692
2000,13.8000,9.1400,137.3000,0.9176
2001,4.9000,8.8600,145.9000,0.2973
2002,1.8000,10.9500,153.5000,0.1283
2003,3.2000,9.7300,217.3000,0.1433
2004,7.5000,9.3000,239.3000,0.2913
2005,5.4000,8.0500,266.3000,0.1631
2006,28.0000,8.2200,322.0000,0.7144
2007,15.1000,8.7500,155.8000,0.8471
2008,18.3000,10.4900,228.5000,0.8399
2009,3.4000,9.6800,173.0000,0.1901
2010,18.1000,6.3300,134.6000,0.8503
2011,7.9000,8.1300,116.5000,0.5511
2012,20.7000,8.8400,211.1000,0.8662
2013,38.1000,7.4300,232.1000,1.2185
2014,3.9000,10.3500,170.8000,0.2363
2015,18.9000,10.2100,220.2000,0.8763
2016,3.1000,10.3700,208.9000,0.1539
2017,4.0000,10.4200,242.3000,0.1719
2018,17.7000,10.2800,354.7000,0.5128
2019,22.1000,10.8100,215.0000,1.1104
