year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,0.7000,14.3300,6.0000,1.6447
1981,0.3000,15.5800,105.7000,0.0442
1982,1.0000,14.6800,19.7000,0.7415
1983,5.1000,14.0400,12.8000,5.5512
1984,0.1000,14.5100,35.9000,0.0403
1985,0.0000,14.2500,2.4000,0.0000
1986,0.0000,13.8400,4.3000,0.0000
1987,7.5000,14.6700,12.4000,8.7998
1988,0.1000,13.7500,53.5000,0.0256
1989,0.5000,14.3700,17.2000,0.4152
1990,4.1000,14.6100,5.6000,10.5111
1991,0.0000,14.3600,14.5000,0.0000
1992,1.8000,14.5900,38.3000,0.6838
1993,3.1000,14.3900,41.6000,1.0699
1994,7.0000,14.5400,1.6000,59.8849
1995,0.8000,14.2100,14.8000,0.7631
1996,1.7000,14.0400,20.2000,1.1759
1997,0.2000,16.6700,5.2000,0.6289
1998,2.7000,14.9400,57.2000,0.7041
1999,6.1000,14.8900,23.6000,3.8336
2000,3.6000,15.8400,34.3000,1.6580
2001,3.3000,15.6000,0.3000,128.6910
2002,6.8000,15.0600,24.6000,4.1451
2003,0.4000,14.2200,15.0000,0.3766
2004,3.9000,16.4200,14.1000,4.5084
2005,1.8000,15.8100,104.6000,0.2718
2006,7.7000,15.2800,6.5000,17.8246
2007,0.0000,16.4900,62.4000,0.0000
2008,3.9000,16.7700,20.8000,3.1292
2009,1.7000,15.9200,10.7000,2.5053
2010,1.2000,13.9600,28.5000,0.5856
2011,0.1000,14.8400,3.9000,0.3709
2012,6.0000,15.5200,29.4000,3.1565
2013,0.5000,16.6600,57.5000,0.1446
2014,4.6000,14.2700,2.5000,25.2404
2015,6.8000,15.8200,13.0000,8.2145
2016,1.6000,16.2200,32.9000,0.7864
2017,7.9000,15.5400,27.8000,4.4009
2018,4.5700,15.8600,24.5700,2.9366
2019,4.5700,15.8600,24.5700,2.9366
