year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,14.2000,-0.4000,328.8000,-0.0172
1981,15.8000,2.1100,339.1000,0.0984
1982,14.8000,2.4700,293.8000,0.1245
1983,93.0000,2.7000,247.1000,1.0170
1984,43.1000,2.1600,616.7000,0.1507
1985,24.2000,2.4400,283.8000,0.2078
1986,14.8000,2.9200,285.0000,0.1518
1987,29.6000,0.0200,347.6000,0.0018
1988,43.4000,1.5800,270.5000,0.2538
1989,22.0000,3.8000,341.9000,0.2443
1990,30.0000,5.2100,410.3000,0.3805
1991,48.7000,1.9200,313.1000,0.2990
1992,25.6000,3.2200,293.9000,0.2802
1993,32.3000,3.3400,376.2000,0.2867
1994,26.4000,2.2000,327.7000,0.1771
1995,32.5000,1.8800,301.6000,0.2021
1996,36.0000,3.7000,300.4000,0.4430
1997,23.2000,3.4600,467.9000,0.1717
1998,34.8000,5.0500,356.0000,0.4939
1999,36.4000,0.6100,438.6000,0.0502
2000,51.8000,3.0200,248.2000,0.6293
2001,45.1000,2.9000,206.7000,0.6324
2002,48.7000,5.0500,324.1000,0.7592
2003,13.1000,5.0000,529.8000,0.1237
2004,75.7000,2.4200,242.9000,0.7551
2005,51.5000,2.2700,150.5000,0.7769
2006,23.1000,2.8600,611.1000,0.1080
2007,26.5000,2.9000,192.6000,0.3984
2008,35.8000,5.6100,276.0000,0.7279
2009,62.2000,3.1300,459.7000,0.4232
2010,36.1000,1.8900,510.1000,0.1335
2011,7.1000,3.3100,219.9000,0.1067
2012,24.5000,2.6500,325.0000,0.1997
2013,49.6000,1.6400,535.6000,0.1521
2014,30.0000,5.0400,182.5000,0.8281
2015,44.4000,3.5000,216.8000,0.7163
2016,32.1000,4.2400,236.5000,0.5759
2017,28.2000,4.7900,300.5000,0.4495
2018,15.5000,4.7100,453.9000,0.1609
2019,25.0000,4.0600,488.6000,0.2075
