year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,7.2000,13.3400,256.1000,0.3750
1981,8.8000,15.7700,444.4000,0.3123
1982,2.3000,15.8100,258.0000,0.1409
1983,5.2000,14.9100,88.9000,0.8709
1984,23.7000,13.2400,292.9000,1.0713
1985,14.3000,13.0000,242.4000,0.7669
1986,15.6000,14.5300,134.3000,1.6868
1987,9.7000,13.9100,414.6000,0.3253
1988,4.0000,13.6800,242.2000,0.2259
1989,32.7000,15.0200,307.0000,1.5992
1990,67.2000,13.6500,330.8000,2.7716
1991,48.1000,12.7600,259.0000,2.3684
1992,6.7000,14.3000,166.2000,0.5760
1993,5.3000,14.4500,528.7000,0.1448
1994,18.4000,14.5900,381.1000,0.7045
1995,2.7000,14.2400,332.3000,0.1157
1996,2.4000,13.6800,419.7000,0.0782
1997,25.0000,14.4200,109.8000,3.2799
1998,21.8000,14.9400,347.9000,0.9356
1999,0.4000,14.5900,127.6000,0.0457
2000,12.3000,15.7200,352.8000,0.5478
2001,41.0000,15.9500,304.8000,2.1454
2002,12.9000,15.7100,159.8000,1.2677
2003,16.6000,14.7900,317.5000,0.7730
2004,9.9000,15.5200,238.5000,0.6438
2005,28.1000,15.2200,317.6000,1.3460
2006,8.9000,15.0400,342.6000,0.3907
2007,24.6000,15.6100,252.6000,1.5196
2008,5.2000,16.2900,327.7000,0.2583
2009,13.3000,15.7500,243.6000,0.8596
2010,24.7000,13.2700,298.1000,1.0990
2011,11.5000,14.9600,247.2000,0.6958
2012,13.8000,15.7000,273.1000,0.7930
2013,16.2000,14.6700,476.6000,0.4985
2014,16.7000,17.0400,245.6300,1.1579
2015,8.7000,15.7400,182.7000,0.7489
2016,12.1000,16.3500,338.4000,0.5843
2017,6.3000,16.6600,244.0000,0.4300
2018,5.8000,16.3100,291.7000,0.3242
2019,10.3000,16.4900,237.4000,0.7151
