year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,17.1000,10.6000,262.1000,0.6910
1981,3.7000,12.2700,355.1000,0.1278
1982,12.7000,12.2400,258.8000,0.6006
1983,13.4000,11.0400,133.0000,1.1119
1984,23.2000,11.0600,257.9000,0.9945
1985,6.4000,11.1600,198.9000,0.3589
1986,20.4000,11.1400,226.9000,1.0009
1987,16.2000,12.0500,221.6000,0.8804
1988,11.6000,10.2500,443.5000,0.2681
1989,33.4000,11.8000,190.6000,2.0669
1990,47.4000,11.1300,261.0000,2.0212
1991,52.0000,11.1400,114.2000,5.0662
1992,6.5000,12.1500,261.7000,0.3016
1993,13.3000,11.6100,207.3000,0.7446
1994,40.9000,12.2000,448.0000,1.1133
1995,0.3000,11.5900,286.3000,0.0121
1996,12.9000,10.0900,347.8000,0.3741
1997,1.6000,13.2400,165.3000,0.1281
1998,13.3000,12.8000,188.7000,0.9015
1999,15.8000,13.3100,137.8000,1.5251
2000,15.7000,13.1800,173.6000,1.1917
2001,22.2000,12.5900,250.9000,1.1133
2002,18.3000,12.3100,193.4000,1.1639
2003,21.4000,12.0000,170.4000,1.5057
2004,5.7000,13.2900,222.2000,0.3407
2005,6.1000,12.5900,156.0000,0.4919
2006,21.6000,12.8800,287.4000,0.9680
2007,28.9000,12.4300,189.0000,1.8997
2008,14.3000,12.9300,127.9000,1.4442
2009,8.3000,12.9000,326.0000,0.3283
2010,25.0000,10.2200,178.4000,1.4313
2011,9.8000,11.0000,307.7000,0.3501
2012,5.4000,12.3200,223.6000,0.2975
2013,4.8000,13.8700,491.4000,0.1354
2014,16.8000,12.6500,280.8000,0.7566
2015,19.1000,12.6600,116.8000,2.0692
2016,8.8000,12.7900,292.2000,0.3849
2017,17.0000,12.6600,404.6000,0.5318
2018,7.3000,14.5700,304.8000,0.3489
2019,5.0000,12.9200,234.0000,0.2760
