year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,12.9000,4.1500,117.2000,0.4566
1981,10.3000,6.1200,299.5000,0.2103
1982,9.8000,6.1400,94.0000,0.6399
1983,19.9000,5.5100,173.4000,0.6320
1984,10.8000,4.9200,236.4000,0.2245
1985,14.0000,3.4800,145.1000,0.3357
1986,20.1000,5.8300,155.3000,0.7543
1987,12.3000,5.9600,97.2000,0.7538
1988,15.1000,3.7400,230.9000,0.2445
1989,12.0000,6.2700,188.4000,0.3992
1990,16.7000,6.0200,176.1000,0.5710
1991,16.4000,5.0300,97.7000,0.8432
1992,25.6000,5.9700,188.6000,0.8094
1993,10.7000,5.3900,177.7000,0.3245
1994,19.8000,6.5900,228.1000,0.5715
1995,17.9000,4.3400,200.3000,0.3875
1996,4.5000,4.8800,168.0300,0.1307
1997,10.1000,6.8400,154.3000,0.4476
1998,14.4000,7.8200,170.4000,0.6601
1999,12.3000,6.8400,128.6000,0.6537
2000,20.8000,6.4000,153.9000,0.8650
2001,13.0000,6.3400,146.9000,0.5603
2002,19.9000,6.3400,171.1000,0.7365
2003,32.9000,6.1200,251.5000,0.8009
2004,10.1000,7.0700,165.7000,0.4305
2005,12.5000,6.5700,97.2700,0.8440
2006,21.8000,6.3900,178.6000,0.7797
2007,50.0000,6.3900,121.0000,2.6380
2008,30.3000,7.2500,158.1000,1.3878
2009,3.6000,7.5000,91.6000,0.2944
2010,22.6000,4.2000,82.0000,1.1553
2011,12.3000,4.8600,185.5000,0.3221
2012,10.4000,6.7600,187.2000,0.3755
2013,5.7000,7.6900,190.7000,0.2299
2014,16.5000,8.0800,147.7000,0.9024
2015,17.9000,6.8700,79.4000,1.5477
2016,17.5000,7.4400,192.8000,0.6750
2017,26.8000,7.7500,132.3000,1.5685
2018,11.4700,10.5500,420.4000,0.2877
2019,33.3000,7.1000,124.0000,1.9057
