year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,13.2000,9.3400,350.5000,0.3516
1981,19.6000,11.8000,149.4000,1.5469
1982,9.1000,11.3200,320.7000,0.3210
1983,38.6000,10.7700,194.2000,2.1404
1984,6.3000,9.8400,407.5000,0.1521
1985,22.8000,9.9600,488.2000,0.4652
1986,31.2000,10.8900,339.7000,1.0000
1987,31.8000,9.2600,201.2000,1.4628
1988,6.2000,10.2600,320.3000,0.1986
1989,39.6000,11.9700,273.4000,1.7328
1990,10.5000,11.1000,528.1000,0.2206
1991,44.4000,10.1000,307.7000,1.4564
1992,13.8000,11.2000,143.4000,1.0775
1993,13.5000,10.9600,433.7000,0.3411
1994,6.0000,11.4300,350.1000,0.1959
1995,2.1000,10.9400,335.9000,0.0684
1996,15.9000,10.5000,447.8000,0.3729
1997,2.0000,12.0500,243.5000,0.0989
1998,33.0000,11.2100,490.7000,0.7540
1999,0.0000,11.9200,261.0000,0.0000
2000,21.5000,11.8100,451.5000,0.5624
2001,48.0000,11.7400,601.0000,0.9376
2002,6.3000,12.3600,202.7000,0.3838
2003,21.1000,11.0900,410.2000,0.5701
2004,5.3000,11.8600,349.6000,0.1797
2005,13.6000,11.2100,403.6000,0.3777
2006,22.5000,11.4900,314.2000,0.8225
2007,3.6000,12.6200,845.3000,0.0537
2008,25.6000,11.5300,625.1000,0.4723
2009,7.3000,11.9900,420.8000,0.2079
2010,16.7000,9.8500,385.8000,0.4264
2011,8.3000,11.6400,462.4000,0.2090
2012,28.8000,11.3400,383.9000,0.8502
2013,20.6000,10.3400,229.2000,0.9293
2014,12.4000,13.0300,356.8000,0.4526
2015,0.4000,11.9800,126.2000,0.0380
2016,4.6000,12.6500,214.3000,0.2713
2017,28.0000,13.1300,473.8000,0.7761
2018,10.6000,11.8400,352.3000,0.3562
2019,22.0000,12.9900,288.8000,0.9895
