year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,38.2000,7.0300,162.6000,1.6507
1981,5.4000,9.0800,330.1000,0.1485
1982,9.5000,9.3600,214.3000,0.4146
1983,17.7000,8.7300,218.1000,0.7082
1984,9.4000,7.6500,164.1000,0.4381
1985,3.7000,7.4800,309.2000,0.0894
1986,33.4000,8.3200,202.9000,1.3685
1987,3.1000,8.8300,240.4000,0.1138
1988,23.4000,7.0500,339.9000,0.4850
1989,10.9000,8.9300,200.9000,0.4843
1990,25.1000,8.1400,263.3000,0.7759
1991,33.3000,7.5100,215.9000,1.1576
1992,8.7000,8.8000,290.6000,0.2632
1993,16.4000,8.1600,148.2000,0.9028
1994,16.5000,9.3700,264.8000,0.5836
1995,7.5000,7.9700,365.7000,0.1633
1996,17.8000,7.3800,295.0000,0.4452
1997,7.5000,9.5300,181.4000,0.3940
1998,20.4000,10.2500,178.3000,1.1722
1999,6.4000,10.2900,138.4000,0.4755
2000,15.9000,9.4600,182.8000,0.8225
2001,18.8000,9.8600,203.4000,0.9113
2002,15.4000,9.8600,218.6000,0.6941
2003,23.6000,8.8600,199.2000,1.0493
2004,9.6000,10.0500,276.3000,0.3491
2005,19.0000,8.8000,196.9000,0.8486
2006,8.8000,9.5300,175.0000,0.4788
2007,31.4000,9.2700,185.6000,1.5667
2008,15.2000,9.7100,197.3000,0.7473
2009,10.2000,10.1200,112.6000,0.9157
2010,30.8000,7.1200,173.5000,1.2628
2011,30.5000,8.0100,172.5000,1.4154
2012,10.5000,9.9100,333.2000,0.3121
2013,5.0000,9.2100,375.6000,0.1225
2014,8.5000,10.1900,181.2000,0.4779
2015,24.3000,9.0900,145.2000,1.5199
2016,9.6000,9.5400,234.5000,0.3904
2017,22.1000,9.5100,255.5000,0.8225
2018,35.7000,11.0500,252.2000,1.5636
2019,11.2000,9.2600,301.4000,0.3438
