year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,1.1000,12.1400,10.7000,1.2369
1981,0.0000,13.9300,55.6000,0.0000
1982,0.2000,12.7200,9.6000,0.2622
1983,0.0000,12.0400,50.1000,0.0000
1984,0.0000,11.8700,23.6000,0.0000
1985,1.7000,12.0100,26.4000,0.7702
1986,1.3000,11.7700,13.3000,1.1420
1987,1.3000,12.7200,32.8000,0.5025
1988,4.7000,11.2700,26.5000,1.9920
1989,0.2000,12.3800,48.4000,0.0511
1990,0.1000,12.1500,68.8000,0.0176
1991,8.6000,12.4200,34.5000,3.0859
1992,17.1000,12.7900,68.5000,3.1893
1993,1.7000,12.3800,46.7000,0.4496
1994,1.0000,12.0200,49.9000,0.2404
1995,5.2000,12.0500,51.5000,1.2140
1996,1.7000,11.3400,59.8000,0.3219
1997,0.0000,14.7200,23.6000,0.0000
1998,4.1000,12.0700,57.5000,0.8592
1999,0.2000,12.2900,23.3000,0.1050
2000,2.4000,13.6600,42.1000,0.7767
2001,3.5000,13.2700,32.7000,1.4157
2002,2.5000,12.3900,38.8000,0.7964
2003,16.5000,11.3900,53.4000,3.5139
2004,5.0000,13.6200,21.0000,3.2274
2005,2.6000,13.8400,42.5000,0.8447
2006,1.9000,12.8000,27.7000,0.8745
2007,0.3000,13.7200,21.0000,0.1950
2008,0.5000,14.3600,53.7000,0.1334
2009,0.4000,13.3000,26.8000,0.1978
2010,6.1000,11.2100,27.0000,2.5223
2011,1.6000,12.5500,39.1000,0.5124
2012,7.7000,13.4000,31.3000,3.2863
2013,0.0000,14.6600,36.3000,0.0000
2014,0.0000,12.4700,52.4000,0.0000
2015,1.0000,13.7600,20.8000,0.6584
2016,4.6000,14.0300,55.7000,1.1567
2017,0.6000,13.6400,24.7000,0.3299
2018,1.1000,14.6100,57.2000,0.2805
2019,0.0000,13.7400,29.6000,0.0000
