year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,14.6000,8.6000,315.8000,0.3975
1981,10.5000,10.7500,292.7000,0.3855
1982,3.7000,10.0300,263.5000,0.1408
1983,13.7000,10.2100,281.4000,0.4967
1984,17.7000,9.2000,415.3000,0.3918
1985,12.1000,9.1200,527.9000,0.2090
1986,12.1000,10.2600,357.2000,0.3474
1987,28.2000,8.3000,381.5000,0.6131
1988,15.6000,9.0500,348.7000,0.4050
1989,4.7000,12.0400,226.6000,0.2495
1990,21.3000,10.3000,369.1000,0.5942
1991,11.1000,9.3300,591.1000,0.1752
1992,2.2000,10.7700,226.0000,0.1048
1993,30.1000,11.0900,403.8000,0.8263
1994,10.4000,10.4500,538.8000,0.2016
1995,20.4000,9.7800,466.4000,0.4276
1996,4.9000,10.1300,443.9000,0.1118
1997,8.9000,11.3500,361.3000,0.2795
1998,6.2000,11.4100,654.7000,0.1080
1999,9.1000,9.8300,270.7000,0.3302
2000,32.6000,10.9500,300.7000,1.1863
2001,13.0000,10.7200,291.4000,0.4782
2002,4.3000,12.6700,317.7000,0.1714
2003,9.6000,11.5700,253.9000,0.4374
2004,18.8000,11.4000,540.3000,0.3967
2005,4.2000,10.1000,462.2000,0.0917
2006,8.4000,10.3600,359.6000,0.2419
2007,40.8000,10.7600,348.6000,1.2590
2008,0.0000,11.9100,455.7000,0.0000
2009,22.2000,12.1100,267.5000,1.0049
2010,26.2000,8.4100,452.5000,0.4867
2011,0.0000,10.7500,337.5000,0.0000
2012,32.0000,10.6400,629.3000,0.5410
2013,39.0000,9.2600,339.2000,1.0647
2014,8.5000,12.6200,190.4000,0.5633
2015,19.0000,11.9800,228.5000,0.9955
2016,6.4000,12.2500,441.6000,0.1775
2017,15.2000,12.7500,334.7500,0.5789
2018,15.1000,12.3300,334.9500,0.5556
2019,15.1000,12.3300,334.9500,0.5556
