year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,28.3000,-1.4200,179.9000,-0.2240
1981,48.3000,-0.9500,231.6000,-0.1974
1982,29.1000,-2.0900,245.4000,-0.2478
1983,50.3000,-3.1600,292.4000,-0.5437
1984,30.3000,-1.9100,177.9000,-0.3256
1985,56.6000,-1.5100,228.1000,-0.3739
1986,33.1000,-1.9700,220.6000,-0.2959
1987,69.6000,-1.1000,172.5000,-0.4427
1988,36.6000,-2.2200,205.0000,-0.3953
1989,47.0000,-2.1100,247.1000,-0.4013
1990,26.4000,-1.7600,182.6000,-0.2540
1991,40.5000,-1.3200,191.4000,-0.2802
1992,27.0000,-1.0600,213.0000,-0.1341
1993,41.8000,-1.2600,285.8000,-0.1845
1994,27.1000,-1.1300,178.2000,-0.1725
1995,8.0000,-2.2800,151.1000,-0.1208
1996,38.0000,-0.4800,199.9000,-0.0907
1997,34.4000,-0.1500,132.8000,-0.0385
1998,53.9000,0.3700,294.4000,0.0668
1999,39.9000,-0.5200,218.9000,-0.0953
2000,33.0000,-1.7600,221.3000,-0.2625
2001,39.3000,-1.7100,176.9000,-0.3799
2002,58.4000,-0.4500,185.0000,-0.1433
2003,17.6000,-0.9100,262.1000,-0.0608
2004,31.4000,-0.1000,209.1000,-0.0152
2005,48.8000,-0.7800,241.4000,-0.1586
2006,24.8000,-1.5800,197.1000,-0.1983
2007,26.0000,-0.4800,268.5000,-0.0463
2008,25.7000,-0.2100,217.9000,-0.0251
2009,60.9000,0.0800,256.6000,0.0181
2010,54.6000,-1.2000,230.0000,-0.2858
2011,16.9000,-1.2500,243.7000,-0.0870
2012,27.2000,-0.8900,262.0000,-0.0926
2013,37.8000,0.3400,280.0000,0.0453
2014,26.9000,-0.5600,256.1000,-0.0587
2015,79.1000,-0.1000,222.6000,-0.0344
2016,47.6000,0.2100,192.7000,0.0521
2017,55.6500,-0.7300,322.4500,-0.1256
2018,54.1800,-0.2000,245.9200,-0.0451
2019,54.1800,-0.2000,245.9200,-0.0451
