year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,52.5000,3.2500,296.8000,0.5739
1981,52.7000,4.4000,536.3000,0.4322
1982,37.9000,4.8200,377.0000,0.4842
1983,31.3000,5.3500,420.2000,0.3987
1984,57.1000,2.7500,389.5000,0.4026
1985,27.0000,4.0300,373.9000,0.2913
1986,76.4000,3.9200,499.0000,0.5998
1987,74.1000,3.4200,494.1000,0.5134
1988,107.7000,2.9900,309.4000,1.0398
1989,40.9000,5.1100,349.4000,0.5977
1990,97.2000,5.3300,381.3000,1.3590
1991,40.6000,3.7400,380.0000,0.3997
1992,58.0000,4.1800,260.0000,0.9332
1993,33.5000,4.4000,419.5000,0.3510
1994,41.8000,3.9300,590.5000,0.2781
1995,44.0000,3.3400,620.7000,0.2364
1996,40.3000,4.1100,409.3000,0.4046
1997,53.5000,4.6200,308.5000,0.8003
1998,45.7000,7.4500,531.4000,0.6407
1999,59.8000,3.6800,336.5000,0.6531
2000,65.9000,4.4200,398.8000,0.7298
2001,33.8000,4.9100,425.5000,0.3900
2002,62.2000,6.3400,421.3000,0.9363
2003,37.2000,5.1500,341.9000,0.5603
2004,96.6000,4.6600,311.5000,1.4443
2005,39.8000,3.7100,467.6000,0.3160
2006,82.2000,4.4300,366.6000,0.9936
2007,113.2000,4.2000,356.4000,1.3336
2008,26.8000,6.7000,339.5000,0.5286
2009,66.4000,5.9100,381.2000,1.0284
2010,122.1000,2.9200,442.0000,0.8060
2011,26.4000,4.1400,417.0000,0.2621
2012,43.2000,4.6800,375.0000,0.5384
2013,71.9000,3.7500,589.8000,0.4569
2014,48.8000,5.8700,334.8000,0.8559
2015,79.6000,6.1200,453.5000,1.0745
2016,105.4000,6.5100,560.6000,1.2241
2017,57.2000,5.5500,346.9000,0.9154
2018,87.7000,6.0400,433.0000,1.2222
2019,59.2000,5.8900,370.9000,0.9402
