year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,39.4000,11.9100,495.3000,0.9469
1981,31.2000,13.6300,496.5000,0.8565
1982,42.0000,12.6300,497.2000,1.0663
1983,11.4000,12.2600,477.6000,0.2927
1984,38.1000,12.2800,445.2000,1.0506
1985,22.8000,11.7300,218.1000,1.2257
1986,53.7000,12.8600,332.0000,2.0791
1987,39.4000,11.6500,342.6000,1.3389
1988,72.9000,11.6000,425.7000,1.9860
1989,150.9000,11.6600,428.3000,4.1082
1990,75.2000,11.8700,397.9000,2.2419
1991,65.8000,11.1600,240.8000,3.0482
1992,65.3000,12.0400,305.5000,2.5718
1993,31.5000,11.7200,382.5000,0.9651
1994,46.6000,12.9100,470.4000,1.2786
1995,4.2000,13.0800,507.2000,0.1082
1996,18.6000,11.2200,516.7000,0.4038
1997,19.9000,12.9400,205.9000,1.2499
1998,62.5000,12.5800,534.4000,1.4714
1999,29.8000,13.1000,255.9000,1.5247
2000,19.8000,14.6700,665.9000,0.4362
2001,81.8000,13.4200,433.1000,2.5342
2002,19.5000,12.9300,362.7000,0.6951
2003,50.4000,12.3400,421.7000,1.4749
2004,15.8000,14.0800,487.9000,0.4559
2005,11.3000,13.6100,688.0000,0.2234
2006,51.0000,14.4000,338.2000,2.1704
2007,41.0000,14.4600,524.5000,1.1304
2008,21.9000,14.3300,350.1000,0.8962
2009,15.7000,13.4200,515.7000,0.4085
2010,29.0000,11.9500,719.7000,0.4816
2011,22.2000,13.2300,393.4000,0.7463
2012,26.2000,13.2700,435.5000,0.7981
2013,10.7000,14.4500,180.9000,0.8545
2014,30.9000,14.0600,250.9000,1.7306
2015,20.5000,13.3100,292.8000,0.9314
2016,12.9000,13.9800,266.9000,0.6754
2017,36.8000,12.9900,340.5500,1.4028
2018,23.1300,13.4200,300.0800,1.0345
2019,23.1300,13.4200,300.0800,1.0345
